https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1659139200000,2022-07-30 00:00:00,XMR/USDT,159.71,161.40,159.65,161.37,4295.478,688891.01777,2949
1659052800000,2022-07-29 00:00:00,XMR/USDT,162.23,166.56,158.27,159.70,326441.396,52979161.54115,185202
1658966400000,2022-07-28 00:00:00,XMR/USDT,161.50,166.64,156.35,162.19,397282.905,63963528.46906,218584
1658880000000,2022-07-27 00:00:00,XMR/USDT,150.98,163.07,149.57,161.55,757500.812,116818815.91289,299875
1658793600000,2022-07-26 00:00:00,XMR/USDT,143.38,151.34,137.76,150.99,582082.165,84285037.65650,252000
1658707200000,2022-07-25 00:00:00,XMR/USDT,151.23,152.24,143.02,143.37,336228.085,49374855.13002,175183
1658620800000,2022-07-24 00:00:00,XMR/USDT,146.28,154.00,146.28,151.21,287463.292,43173066.70058,146035
1658534400000,2022-07-23 00:00:00,XMR/USDT,148.85,151.24,142.29,146.27,293045.173,42997093.35570,162092
1658448000000,2022-07-22 00:00:00,XMR/USDT,150.93,153.77,148.00,148.86,435844.563,65729335.34450,204598
1658361600000,2022-07-21 00:00:00,XMR/USDT,151.44,153.50,146.42,150.93,770432.693,115630533.17212,342765
1658275200000,2022-07-20 00:00:00,XMR/USDT,146.26,153.54,142.85,151.39,476405.342,70848654.92907,253324
1658188800000,2022-07-19 00:00:00,XMR/USDT,146.70,148.97,139.69,146.24,372459.816,53903379.49082,217714
1658102400000,2022-07-18 00:00:00,XMR/USDT,135.97,149.13,135.76,146.71,344299.928,49532008.74474,196610
1658016000000,2022-07-17 00:00:00,XMR/USDT,138.81,142.15,134.04,135.95,243442.282,33584824.89198,164201
1657929600000,2022-07-16 00:00:00,XMR/USDT,138.70,145.84,135.26,138.78,459142.675,63979122.18216,211565
1657843200000,2022-07-15 00:00:00,XMR/USDT,133.99,141.38,132.52,138.70,431317.022,58606413.21244,208624
1657756800000,2022-07-14 00:00:00,XMR/USDT,124.11,134.98,123.04,133.99,422930.753,54333688.47698,206290
1657670400000,2022-07-13 00:00:00,XMR/USDT,122.98,126.00,117.37,124.14,418781.256,51123974.24195,197968
1657584000000,2022-07-12 00:00:00,XMR/USDT,126.85,129.38,122.74,122.98,568162.771,71683480.69084,210486
